from,to,n
Gonzales County,Nolan County,0
Gonzales County,Hale County,0
Gonzales County,Smith County,0
Gonzales County,Lipscomb County,0
Gonzales County,Titus County,0
Gonzales County,Jack County,0
Gonzales County,Montgomery County,0
Gonzales County,Wichita County,0
Gonzales County,Lamb County,0
Gonzales County,Angelina County,0
Gonzales County,Starr County,0
Gonzales County,Hemphill County,0
Gonzales County,Bandera County,0
Gonzales County,Jasper County,0
Gonzales County,Palo Pinto County,0
Gonzales County,Zavala County,0
Gonzales County,Clay County,0
Gonzales County,Victoria County,86
Gonzales County,Hartley County,0
Gonzales County,McCulloch County,0
Gonzales County,Ellis County,0
Gonzales County,Fort Bend County,0
Gonzales County,Rains County,0
Gonzales County,Lynn County,0
Gonzales County,Stephens County,0
Gonzales County,Red River County,0
Gonzales County,Terry County,0
Gonzales County,Brewster County,0
Gonzales County,Limestone County,0
Gonzales County,Travis County,101
Gonzales County,Upton County,0
Gonzales County,Bowie County,0
Gonzales County,Knox County,0
Gonzales County,Somervell County,0
Gonzales County,Sherman County,0
Gonzales County,Winkler County,0
Gonzales County,Andrews County,0
Gonzales County,Matagorda County,0
Gonzales County,Coryell County,0
Gonzales County,Colorado County,7
Gonzales County,Callahan County,0
Gonzales County,Morris County,0
Gonzales County,Bee County,5
Gonzales County,Franklin County,0
Gonzales County,Cass County,0
Gonzales County,Taylor County,0
Gonzales County,McLennan County,8
Gonzales County,Wharton County,0
Gonzales County,Robertson County,0
Gonzales County,Cameron County,0
Gonzales County,Van Zandt County,0
Gonzales County,Yoakum County,0
Gonzales County,Crockett County,0
Gonzales County,Panola County,0
Gonzales County,Terrell County,0
Gonzales County,Lee County,0
Gonzales County,Walker County,0
Gonzales County,Hidalgo County,0
Gonzales County,Collingsworth County,0
Gonzales County,Lamar County,0
Gonzales County,Live Oak County,0
Gonzales County,Jim Hogg County,0
Gonzales County,Dallam County,0
Gonzales County,Dallas County,0
Gonzales County,Gray County,0
Gonzales County,Chambers County,0
Gonzales County,Hardin County,0
Gonzales County,Roberts County,0
Gonzales County,Scurry County,0
Gonzales County,Rockwall County,0
Gonzales County,Brazos County,0
Gonzales County,Calhoun County,0
Gonzales County,King County,0
Gonzales County,Grayson County,0
Gonzales County,Mason County,0
Gonzales County,Parmer County,0
Gonzales County,Shelby County,0
Gonzales County,El Paso County,0
Gonzales County,Hays County,66
Gonzales County,Tarrant County,0
Gonzales County,Kenedy County,0
Gonzales County,Martin County,0
Gonzales County,Jackson County,7
Gonzales County,San Patricio County,0
Gonzales County,Falls County,0
Gonzales County,Sterling County,0
Gonzales County,Gillespie County,0
Gonzales County,Carson County,0
Gonzales County,Dickens County,0
Gonzales County,Dimmit County,0
Gonzales County,Bastrop County,22
Gonzales County,Coke County,0
Gonzales County,Medina County,0
Gonzales County,Menard County,0
